Понедельник, 4 августа
23.30 "Внутри криминального разума". Сезон: 1. Серия: 1. (Великобритания, 2018)  16+
0.25 "Внутри криминального разума". Сезон: 1. Серия: 2. (Великобритания, 2018)  16+
1.15 "Внутри криминального разума". Сезон: 1. Серия: 3. (Великобритания, 2018)  16+
2.00 "Внутри криминального разума". Сезон: 1. Серия: 4. (Великобритания, 2018)  16+
2.50 "Охотники за подземными сокровищами". Сезон: 3. Серия: 5. (Австралия, 2024)  16+
3.35 "Охотники за подземными сокровищами". Сезон: 3. Серия: 6. (Австралия, 2024)  16+
4.25 "Большое рыболовное приключение". Сезон: 1. Серия: 1. (Великобритания, 2021)  12+
5.10 "Большое рыболовное приключение". Сезон: 1. Серия: 2. (Великобритания, 2021)  12+
Воскресенье, 10 августа
6.05 "Снежная команда". Сезон: 1. Серия: 2. (Новая Зеландия, 2023)  16+
6.30 "Машины с того света". Сезон: 13. Серия: 4. (США, 2021)  16+
7.10 "Проверка на прочность". Сезон: 3. Серия: 2. (США, 2022)  12+
8.15 "Семь дней в аду". Сезон: 1. Серия: 3. (Канада, 2015)  16+
9.05 "Семь дней в аду". Сезон: 1. Серия: 4. (Канада, 2015)  16+
9.55 "Без предела: экстремальные лифты". (Франция, 2019)  12+
10.50 "Свидетельства паранормального". Сезон: 6. Серия: 4. (США, 2021)  16+
11.35 "Свидетельства паранормального". Сезон: 6. Серия: 5. (США, 2021)  16+
12.20 "Свидетельства паранормального". Сезон: 6. Серия: 6. (США, 2021)  16+
13.05 "Спасение классики". Сезон: 1. Серия: 5. (Великобритания, 2012)  16+
14.00 "Спасение классики". Сезон: 1. Серия: 4. (Великобритания, 2012)  16+
14.50 "Торговцы космосом". Сезон: 1. Серия: 1. (Великобритания, 2017)  16+
15.45 "Торговцы космосом". Сезон: 1. Серия: 2. (Великобритания, 2017)  16+
16.35 "Торговцы космосом". Сезон: 1. Серия: 3. (Великобритания, 2017)  16+
17.25 "Переделка старья". Сезон: 2. Серия: 13. (Великобритания, 2019)  12+
18.15 "Переделка старья". Сезон: 3. Серия: 1. (Великобритания, 2022)  12+
19.10 "Переделка старья". Сезон: 3. Серия: 2. (Великобритания, 2022)  12+
20.05 "Переделка старья". Сезон: 3. Серия: 3. (Великобритания, 2022)  12+
21.00 "Пограничный контроль. Куба.". Сезон: 1. Серия: 4. (США, 2024)  16+
21.25 "Пограничный контроль. Куба.". Сезон: 1. Серия: 5. (США, 2024)  16+
21.55 "Пограничный контроль. Куба.". Сезон: 1. Серия: 6. (США, 2024)  16+
22.25 "Стоп! Пограничный контроль". Сезон: 1. Серия: 7. (Мексика, 2021)  16+
22.50 "Стоп! Пограничный контроль". Сезон: 1. Серия: 8. (Мексика, 2021)  16+
23.15 "Стоп! Пограничный контроль". Сезон: 1. Серия: 9. (Мексика, 2021)  16+
23.40 "Стоп! Пограничный контроль". Сезон: 1. Серия: 10. (Мексика, 2021)  16+
0.05 "Стоп! Пограничный контроль". Сезон: 1. Серия: 11. (Мексика, 2021)  16+
0.35 "Стоп! Пограничный контроль". Сезон: 1. Серия: 12. (Мексика, 2021)  16+
1.00 "Необъяснимая Земля". Сезон: 3. Серия: 5. (США, 2022)  16+
1.45 "Необъяснимая Земля". Сезон: 3. Серия: 6. (США, 2022)  16+
2.25 "Железная гора". Сезон: 1. Серия: 1. (Канада, 2021)  16+
2.50 "Железная гора". Сезон: 1. Серия: 2. (Канада, 2021)  16+
3.10 "Железная гора". Сезон: 1. Серия: 3. (Канада, 2021)  16+
3.30 "Железная гора". Сезон: 1. Серия: 4. (Канада, 2021)  16+
3.55 "Железная гора". Сезон: 1. Серия: 5. (Канада, 2021)  16+
4.15 "Большое рыболовное приключение". Сезон: 1. Серия: 3. (Великобритания, 2021)  12+
5.00 "Большое рыболовное приключение". Сезон: 1. Серия: 4. (Великобритания, 2021)  12+
